Canonical Word: VANS
Detections:
  Frame Name: 1.73829e+09, Score: 0.974382
  Frame Name: 1.73829e+09, Score: 0.981521
  Frame Name: 1.73829e+09, Score: 0.968973
  Frame Name: 1.73829e+09, Score: 0.974511
  Frame Name: 1.73829e+09, Score: 0.97573
  Frame Name: 1.73829e+09, Score: 0.981144
  Frame Name: 1.73829e+09, Score: 0.940486
  Frame Name: 1.73829e+09, Score: 0.97531
  Frame Name: 1.73829e+09, Score: 0.972028
  Frame Name: 1.73829e+09, Score: 0.981256
  Frame Name: 1.73829e+09, Score: 0.964073
  Frame Name: 1.73829e+09, Score: 0.921683
  Frame Name: 1.73829e+09, Score: 0.921582
  Frame Name: 1.73829e+09, Score: 0.931436
  Frame Name: 1.73829e+09, Score: 0.931436
  Frame Name: 1.73829e+09, Score: 0.969466
  Frame Name: 1.73829e+09, Score: 0.962454
  Frame Name: 1.73829e+09, Score: 0.925545
  Frame Name: 1.73829e+09, Score: 0.925545
  Frame Name: 1.73829e+09, Score: 0.984114
  Frame Name: 1.73829e+09, Score: 0.984114
  Frame Name: 1.73829e+09, Score: 0.955195
  Frame Name: 1.73829e+09, Score: 0.955195
  Frame Name: 1.73829e+09, Score: 0.947314
  Frame Name: 1.73829e+09, Score: 0.947314
  Frame Name: 1.73829e+09, Score: 0.959005
  Frame Name: 1.73829e+09, Score: 0.979977
  Frame Name: 1.73829e+09, Score: 0.976138
  Frame Name: 1.73829e+09, Score: 0.967288
  Frame Name: 1.73829e+09, Score: 0.970958
  Frame Name: 1.73829e+09, Score: 0.95544
  Frame Name: 1.73829e+09, Score: 0.916034
  Frame Name: 1.73829e+09, Score: 0.967503
  Frame Name: 1.73829e+09, Score: 0.967503
  Frame Name: 1.73829e+09, Score: 0.928732
  Frame Name: 1.73829e+09, Score: 0.954474
  Frame Name: 1.73829e+09, Score: 0.978094
  Frame Name: 1.73829e+09, Score: 0.926712
  Frame Name: 1.73829e+09, Score: 0.99663
  Frame Name: 1.73829e+09, Score: 0.988514
  Frame Name: 1.73829e+09, Score: 0.909263
  Frame Name: 1.73829e+09, Score: 0.990364
  Frame Name: 1.73829e+09, Score: 0.913922
  Frame Name: 1.73829e+09, Score: 0.997422
  Frame Name: 1.73829e+09, Score: 0.99456
  Frame Name: 1.73829e+09, Score: 0.996614
  Frame Name: 1.73829e+09, Score: 0.98903
  Frame Name: 1.73829e+09, Score: 0.920848
  Frame Name: 1.73829e+09, Score: 0.992503
  Frame Name: 1.73829e+09, Score: 0.996539
  Frame Name: 1.73829e+09, Score: 0.93782
  Frame Name: 1.73829e+09, Score: 0.994532
  Frame Name: 1.73829e+09, Score: 0.994938
  Frame Name: 1.73829e+09, Score: 0.932718
  Frame Name: 1.73829e+09, Score: 0.996064
  Frame Name: 1.73829e+09, Score: 0.993786
  Frame Name: 1.73829e+09, Score: 0.93296
  Frame Name: 1.73829e+09, Score: 0.968326
  Frame Name: 1.73829e+09, Score: 0.99473
  Frame Name: 1.73829e+09, Score: 0.960661
  Frame Name: 1.73829e+09, Score: 0.991494
  Frame Name: 1.73829e+09, Score: 0.933181
  Frame Name: 1.73829e+09, Score: 0.936981
  Frame Name: 1.73829e+09, Score: 0.983593
  Frame Name: 1.73829e+09, Score: 0.980617
  Frame Name: 1.73829e+09, Score: 0.921239
  Frame Name: 1.73829e+09, Score: 0.908583
  Frame Name: 1.73829e+09, Score: 0.923878
  Frame Name: 1.73829e+09, Score: 0.903714
  Frame Name: 1.73829e+09, Score: 0.914131
  Frame Name: 1.73829e+09, Score: 0.937097
  Frame Name: 1.73829e+09, Score: 0.916797
  Frame Name: 1.73829e+09, Score: 0.990179
  Frame Name: 1.73829e+09, Score: 0.953276
  Frame Name: 1.73829e+09, Score: 0.96686
  Frame Name: 1.73829e+09, Score: 0.935784
  Frame Name: 1.73829e+09, Score: 0.927779
  Frame Name: 1.73829e+09, Score: 0.93656
  Frame Name: 1.73829e+09, Score: 0.930894
  Frame Name: 1.73829e+09, Score: 0.949943
  Frame Name: 1.73829e+09, Score: 0.942923
  Frame Name: 1.73829e+09, Score: 0.929361
  Frame Name: 1.73829e+09, Score: 0.958035
  Frame Name: 1.73829e+09, Score: 0.922814
  Frame Name: 1.73829e+09, Score: 0.918479
  Frame Name: 1.73829e+09, Score: 0.941853
  Frame Name: 1.73829e+09, Score: 0.923566
  Frame Name: 1.73829e+09, Score: 0.923566
  Frame Name: 1.73829e+09, Score: 0.993939
  Frame Name: 1.73829e+09, Score: 0.972891
  Frame Name: 1.73829e+09, Score: 0.972891
  Frame Name: 1.73829e+09, Score: 0.928421
  Frame Name: 1.73829e+09, Score: 0.992567
  Frame Name: 1.73829e+09, Score: 0.950059
  Frame Name: 1.73829e+09, Score: 0.940807
  Frame Name: 1.73829e+09, Score: 0.904984
  Frame Name: 1.73829e+09, Score: 0.904984
  Frame Name: 1.73829e+09, Score: 0.996823
  Frame Name: 1.73829e+09, Score: 0.991088
  Frame Name: 1.73829e+09, Score: 0.931953
  Frame Name: 1.73829e+09, Score: 0.931953
  Frame Name: 1.73829e+09, Score: 0.931295
  Frame Name: 1.73829e+09, Score: 0.931295
  Frame Name: 1.73829e+09, Score: 0.90596
  Frame Name: 1.73829e+09, Score: 0.90596
  Frame Name: 1.73829e+09, Score: 0.95765
  Frame Name: 1.73829e+09, Score: 0.95765
  Frame Name: 1.73829e+09, Score: 0.900804
  Frame Name: 1.73829e+09, Score: 0.93537
  Frame Name: 1.73829e+09, Score: 0.93537
  Frame Name: 1.73829e+09, Score: 0.943427
  Frame Name: 1.73829e+09, Score: 0.943427
  Frame Name: 1.73829e+09, Score: 0.951702
  Frame Name: 1.73829e+09, Score: 0.951702
  Frame Name: 1.73829e+09, Score: 0.933156
  Frame Name: 1.73829e+09, Score: 0.933156
  Frame Name: 1.73829e+09, Score: 0.91436
  Frame Name: 1.73829e+09, Score: 0.91436
  Frame Name: 1.73829e+09, Score: 0.930258
  Frame Name: 1.73829e+09, Score: 0.930258
  Frame Name: 1.73829e+09, Score: 0.915039
  Frame Name: 1.73829e+09, Score: 0.915039
  Frame Name: 1.73829e+09, Score: 0.939266
  Frame Name: 1.73829e+09, Score: 0.950234
  Frame Name: 1.73829e+09, Score: 0.954982
  Frame Name: 1.73829e+09, Score: 0.954982
  Frame Name: 1.73829e+09, Score: 0.952792
  Frame Name: 1.73829e+09, Score: 0.904467
  Frame Name: 1.73829e+09, Score: 0.943349
  Frame Name: 1.73829e+09, Score: 0.950838
  Frame Name: 1.73829e+09, Score: 0.957769
  Frame Name: 1.73829e+09, Score: 0.920676
  Frame Name: 1.73829e+09, Score: 0.920676
  Frame Name: 1.73829e+09, Score: 0.910159
  Frame Name: 1.73829e+09, Score: 0.910159
  Frame Name: 1.73829e+09, Score: 0.941962
  Frame Name: 1.73829e+09, Score: 0.941962
  Frame Name: 1.73829e+09, Score: 0.923418
  Frame Name: 1.73829e+09, Score: 0.923418
  Frame Name: 1.73829e+09, Score: 0.972501
  Frame Name: 1.73829e+09, Score: 0.972501
  Frame Name: 1.73829e+09, Score: 0.915646
  Frame Name: 1.73829e+09, Score: 0.915646
  Frame Name: 1.73829e+09, Score: 0.940901
